packet_index,payload_symbol_index,gt_raw_fft_bin,phase_bonus_weight,phase_gate_width_pi,phase_evidence,center_rank,multi_offset_rank,phase_gated_rank,phase_line_slope_pi,phase_line_r2,phase_line_anchor_count,residual_offset_pi,residual_std_pi,early_anchor_count,phase_trend_quality,center_top1_hit,multi_top1_hit,phase_gated_top1_hit,phase_rescue_top1,phase_damage_top1,center_top2_hit,multi_top2_hit,phase_gated_top2_hit,phase_rescue_top2,phase_damage_top2,rescue_r1_top2_hit,center_top4_hit,multi_top4_hit,phase_gated_top4_hit,phase_rescue_top4,phase_damage_top4,rescue_r1_top4_hit,rescue_r2_top4_hit,center_top8_hit,multi_top8_hit,phase_gated_top8_hit,phase_rescue_top8,phase_damage_top8,rescue_r1_top8_hit,rescue_r2_top8_hit,rescue_r4_top8_hit,center_top16_hit,multi_top16_hit,phase_gated_top16_hit,phase_rescue_top16,phase_damage_top16,rescue_r1_top16_hit,rescue_r2_top16_hit,rescue_r4_top16_hit,center_top32_hit,multi_top32_hit,phase_gated_top32_hit,phase_rescue_top32,phase_damage_top32,rescue_r1_top32_hit,rescue_r2_top32_hit,rescue_r4_top32_hit,center_top64_hit,multi_top64_hit,phase_gated_top64_hit,phase_rescue_top64,phase_damage_top64,rescue_r1_top64_hit,rescue_r2_top64_hit,rescue_r4_top64_hit
1,25,720,0.5,0.5,center,5,1,6,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,25,720,0.5,0.75,center,5,1,7,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,25,720,1.0,0.333333,center,5,1,8,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,25,720,1.0,0.5,center,5,1,10,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,25,720,1.0,0.75,center,5,1,11,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,25,720,2.0,0.333333,center,5,1,15,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,25,720,2.0,0.5,center,5,1,23,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,25,720,2.0,0.75,center,5,1,27,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,0.2,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,0.2,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,0.2,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,0.5,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,0.5,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,0.5,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,1.0,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,1.0,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,1.0,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,2.0,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,2.0,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,26,314,2.0,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,0.2,0.333333,center,6,1,7,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,0.2,0.5,center,6,1,7,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,0.2,0.75,center,6,1,7,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,0.5,0.333333,center,6,1,7,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,0.5,0.5,center,6,1,6,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,0.5,0.75,center,6,1,6,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,1.0,0.333333,center,6,1,8,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,1.0,0.5,center,6,1,7,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,1.0,0.75,center,6,1,5,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,2.0,0.333333,center,6,1,14,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,2.0,0.5,center,6,1,9,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,27,602,2.0,0.75,center,6,1,7,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,0.2,0.333333,center,16,1,16,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,0.2,0.5,center,16,1,16,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,0.2,0.75,center,16,1,15,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,0.5,0.333333,center,16,1,17,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,0.5,0.5,center,16,1,17,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,0.5,0.75,center,16,1,14,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,1.0,0.333333,center,16,1,22,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,1.0,0.5,center,16,1,21,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,1.0,0.75,center,16,1,15,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,28,7,2.0,0.333333,center,16,1,40,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
1,28,7,2.0,0.5,center,16,1,43,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
1,28,7,2.0,0.75,center,16,1,22,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,0.2,0.333333,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,0.2,0.5,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,0.2,0.75,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,0.5,0.333333,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,0.5,0.5,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,0.5,0.75,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,1.0,0.333333,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,1.0,0.5,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,1.0,0.75,center,2,1,2,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,2.0,0.333333,center,2,1,3,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,2.0,0.5,center,2,1,4,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,29,610,2.0,0.75,center,2,1,3,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,0,1,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,0.2,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,0.2,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,0.2,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,0.5,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,0.5,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,0.5,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,1.0,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,1.0,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,1.0,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,2.0,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,2.0,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,30,807,2.0,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,0.2,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,0.2,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,0.2,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,0.5,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,0.5,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,0.5,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,1.0,0.333333,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,1.0,0.5,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
1,31,897,1.0,0.75,center,1,1,1,0.00981327940618147,0.2117922252425355,8,-0.058639441892053064,0.334987644823816,8,0.2889925414294164,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
